Saved at time: 61291724 milliseconds
Integration time: 10000000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
337.35134888	2081.00000000
337.80362194	2173.00000000
338.25595141	2307.00000000
338.70833725	2222.00000000
339.16077942	2073.00000000
339.61327788	1982.00000000
340.06583261	2167.00000000
340.51844356	1701.00000000
340.97111069	1780.00000000
341.42383397	1725.00000000
341.87661336	1526.00000000
342.32944883	1828.00000000
342.78234033	1804.00000000
343.23528784	1977.00000000
343.68829131	2203.00000000
344.14135070	1991.00000000
344.59446599	2132.00000000
345.04763714	1888.00000000
345.50086410	1734.00000000
345.95414684	2220.00000000
346.40748532	1956.00000000
346.86087951	1948.00000000
347.31432937	2107.00000000
347.76783486	2243.00000000
348.22139595	1994.00000000
348.67501260	1986.00000000
349.12868478	2140.00000000
349.58241244	1924.00000000
350.03619554	2143.00000000
350.49003406	2049.00000000
350.94392796	2001.00000000
351.39787720	1764.00000000
351.85188173	1979.00000000
352.30594153	1713.00000000
352.76005657	1940.00000000
353.21422679	1706.00000000
353.66845217	2094.00000000
354.12273266	1789.00000000
354.57706824	1872.00000000
355.03145886	1948.00000000
355.48590449	2045.00000000
355.94040509	2102.00000000
356.39496062	1958.00000000
356.84957105	1968.00000000
357.30423634	2112.00000000
357.75895646	2122.00000000
358.21373136	1904.00000000
358.66856102	1705.00000000
359.12344538	2059.00000000
359.57838442	2079.00000000
360.03337811	1537.00000000
360.48842639	2070.00000000
360.94352924	1629.00000000
361.39868662	2013.00000000
361.85389850	2024.00000000
362.30916483	2042.00000000
362.76448558	2125.00000000
363.21986071	1724.00000000
363.67529018	1863.00000000
364.13077397	2112.00000000
364.58631202	2068.00000000
365.04190431	1800.00000000
365.49755080	1663.00000000
365.95325145	2200.00000000
366.40900623	1756.00000000
366.86481509	2109.00000000
367.32067801	2194.00000000
367.77659494	2089.00000000
368.23256584	2180.00000000
368.68859069	2038.00000000
369.14466944	1826.00000000
369.60080206	2073.00000000
370.05698851	1829.00000000
370.51322875	1489.00000000
370.96952275	1808.00000000
371.42587047	2210.00000000
371.88227187	2224.00000000
372.33872691	2182.00000000
372.79523557	1773.00000000
373.25179780	1696.00000000
373.70841357	2014.00000000
374.16508283	2006.00000000
374.62180556	2058.00000000
375.07858171	2130.00000000
375.53541125	2165.00000000
375.99229415	2169.00000000
376.44923035	1561.00000000
376.90621984	1836.00000000
377.36326257	2137.00000000
377.82035850	1824.00000000
378.27750760	1844.00000000
378.73470984	94.00000000
379.19196516	1894.00000000
379.64927355	2128.00000000
380.10663495	1268.00000000
380.56404934	1843.00000000
381.02151668	1992.00000000
381.47903693	2191.00000000
381.93661005	1921.00000000
382.39423600	1745.00000000
382.85191476	2109.00000000
383.30964628	1858.00000000
383.76743053	1847.00000000
384.22526746	1969.00000000
384.68315705	1713.00000000
385.14109926	2129.00000000
385.59909404	1941.00000000
386.05714137	1989.00000000
